mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,tackle_name
0.53359,8.64124,-18.20953,13.59597,3.64065,2.72078,5.97301,22.31057,1.91598,Mekhi Becton
0.66927,8.6424,-18.01563,13.83645,3.64116,2.72116,5.97854,22.66418,1.92326,Mike McGlinchey
0.71706,8.64014,-17.68806,14.14815,3.63924,2.71964,5.97974,22.22615,1.92438,Mike Remmers
0.9343,8.64129,-17.90554,13.91026,3.64051,2.72066,5.98027,23.00831,1.92377,Morgan Moses
0.69935,8.64162,-17.99456,13.8504,3.64074,2.72084,5.97883,22.20573,1.92065,Nate Solder
0.34173,8.64206,-18.17836,13.66842,3.64159,2.72154,5.9758,22.46522,1.92548,Orlando Brown
0.52308,8.64156,-18.2666,13.5609,3.64045,2.7206,5.98169,22.0925,1.92541,Patrick Mekari
0.49649,8.64108,-17.93415,13.90649,3.64059,2.72074,5.98042,22.13412,1.92685,Penei Sewell
0.63617,8.64396,-17.90589,13.96383,3.64184,2.72167,5.98024,22.64873,1.91883,Rashawn Slater
0.38514,8.64312,-18.42401,13.43174,3.64107,2.72106,5.98277,22.62323,1.92684,Rashod Hill
0.53117,8.64024,-18.1277,13.70232,3.6407,2.72086,5.97688,22.2267,1.92408,Riley Reiff
0.84401,8.64089,-17.83198,13.9874,3.64082,2.72094,5.97772,22.37898,1.92469,Rob Havenstein
0.51918,8.64165,-18.31327,13.5456,3.64032,2.72049,5.97949,22.55875,1.91743,Ronnie Stanley
0.96814,8.63932,-17.52402,14.32705,3.63994,2.72026,5.97909,22.74752,1.92405,Ryan Ramczyk
0.9863,8.64281,-17.33264,14.50943,3.64114,2.72113,5.98129,22.27607,1.92464,Samuel Cosmi
0.33855,8.64222,-18.31112,13.51483,3.63988,2.7201,5.97767,22.0966,1.91394,Spencer Brown
0.63439,8.64079,-18.20365,13.63387,3.64066,2.7208,5.98005,22.55304,1.92158,Storm Norton
0.52461,8.63976,-18.21625,13.62131,3.64032,2.72056,5.9804,22.96884,1.92353,Taylor Lewan
0.72327,8.64189,-17.94403,13.8926,3.64093,2.72099,5.97855,22.52571,1.92454,Taylor Moton
0.96069,8.64067,-17.74291,14.08513,3.63992,2.72019,5.98167,22.30594,1.9196,Terence Steele
0.7133,8.64118,-17.89413,13.87299,3.64071,2.72084,5.98193,22.5266,1.92289,Terron Armstead
0.55884,8.64337,-18.14738,13.72357,3.64129,2.72124,5.981,22.36795,1.91927,Trent Williams
0.67642,8.64111,-17.80011,14.0409,3.6409,2.721,5.97594,22.21872,1.92232,Tristan Wirfs
0.4849,8.64097,-18.12284,13.70927,3.63996,2.72022,5.97766,22.71067,1.92055,Ty Sambrailo
0.68414,8.63955,-18.07271,13.75046,3.64016,2.72043,5.97847,22.75986,1.92234,Tyron Smith
0.60539,8.6442,-17.98427,13.84455,3.6402,2.72029,5.98214,22.61424,1.91585,Yodny Cajuste
0.93565,8.6401,-17.6821,14.16162,3.64017,2.72043,5.97925,22.44957,1.92475,Yosuah Nijman
